Mortalidade Geral em investigação
Óbitos Residentes MSP por Subpref/Dist Adm residência e Ano do Óbito
Causa(Cap CID10): IV.  Doenças endócrinas nutricionais e metabólicas
Período:2018
"Subpref/Dist Adm residência";"2018";"Total"
"** Aricanduva/Formosa/Carrão";109;109
"Aricanduva";36;36
"Carrão";41;41
"Vila Formosa";32;32
"** Butantã";112;112
"Butantã";17;17
"Morumbi";14;14
"Raposo Tavares";20;20
"Rio Pequeno";32;32
"Vila Sônia";29;29
"** Campo Limpo";133;133
"Campo Limpo";52;52
"Capão Redondo";64;64
"Vila Andrade";17;17
"** Capela do Socorro";127;127
"Cidade Dutra";49;49
"Grajaú";65;65
"Socorro";13;13
"** Casa Verde/Cachoeirinha";129;129
"Cachoeirinha";49;49
"Casa Verde";47;47
"Limão";33;33
"** Cidade Ademar";121;121
"Cidade Ademar";86;86
"Pedreira";35;35
"** Cidade Tiradentes";46;46
"Cidade Tiradentes";46;46
"** Ermelino Matarazzo";79;79
"Ermelino Matarazzo";33;33
"Ponte Rasa";46;46
"** Freguesia/Brasilândia";172;172
"Brasilândia";95;95
"Freguesia do Ó";77;77
"** Guaianases";97;97
"Guaianases";45;45
"Lajeado";52;52
"** Ipiranga";143;143
"Cursino";34;34
"Ipiranga";41;41
"Sacomã";68;68
"** Itaim Paulista";122;122
"Itaim Paulista";71;71
"Vila Curuçá";51;51
"** Itaquera";169;169
"Cidade Líder";40;40
"Itaquera";73;73
"José Bonifácio";41;41
"Parque do Carmo";15;15
"** Jabaquara";112;112
"Jabaquara";112;112
"** Jaçanã/Tremembé";74;74
"Jaçanã";24;24
"Tremembé";50;50
"** Lapa";83;83
"Barra Funda";9;9
"Jaguara";8;8
"Jaguaré";13;13
"Lapa";30;30
"Perdizes";17;17
"Vila Leopoldina";6;6
"** M'Boi Mirim";127;127
"Jardim Ângela";53;53
"Jardim São Luís";74;74
"** Moóca";125;125
"Água Rasa";31;31
"Belém";19;19
"Brás";7;7
"Moóca";27;27
"Pari";6;6
"Tatuapé";35;35
"** Parelheiros";41;41
"Marsilac";-;-
"Parelheiros";41;41
"** Penha";184;184
"Artur Alvim";29;29
"Cangaíba";54;54
"Penha";50;50
"Vila Matilde";51;51
"** Perus";34;34
"Anhangüera";12;12
"Perus";22;22
"** Pinheiros";68;68
"Alto de Pinheiros";9;9
"Itaim Bibi";32;32
"Jardim Paulista";16;16
"Pinheiros";11;11
"** Pirituba";136;136
"Jaraguá";51;51
"Pirituba";61;61
"São Domingos";24;24
"** Santana/Tucuruvi";124;124
"Mandaqui";40;40
"Santana";46;46
"Tucuruvi";38;38
"** Santo Amaro";77;77
"Campo Belo";35;35
"Campo Grande";23;23
"Santo Amaro";19;19
"** São Mateus";106;106
"Iguatemi";27;27
"São Mateus";52;52
"São Rafael";27;27
"** São Miguel";125;125
"Jardim Helena";41;41
"São Miguel";40;40
"Vila Jacuí";44;44
"** Sapopemba";94;94
"Sapopemba";94;94
"** Sé";109;109
"Bela Vista";15;15
"Bom Retiro";12;12
"Cambuci";11;11
"Consolação";11;11
"Liberdade";18;18
"República";17;17
"Santa Cecília";19;19
"Sé";6;6
"** Vila Maria/Vila Guilherme";115;115
"Vila Guilherme";23;23
"Vila Maria";43;43
"Vila Medeiros";49;49
"** Vila Mariana";89;89
"Moema";18;18
"Saúde";32;32
"Vila Mariana";39;39
"** Vila Prudente";76;76
"São Lucas";49;49
"Vila Prudente";27;27
"** Ignorado";22;22
"Total";3480;3480
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 07/11/2025.
