Mortalidade Geral em investigação
Óbitos Residentes MSP por Subpref/Dist Adm residência e Ano do Óbito
Causa(Cap CID10): IV.  Doenças endócrinas nutricionais e metabólicas
Período:2019
"Subpref/Dist Adm residência";"2019";"Total"
"** Aricanduva/Formosa/Carrão";97;97
"Aricanduva";35;35
"Carrão";29;29
"Vila Formosa";33;33
"** Butantã";111;111
"Butantã";18;18
"Morumbi";13;13
"Raposo Tavares";26;26
"Rio Pequeno";33;33
"Vila Sônia";21;21
"** Campo Limpo";114;114
"Campo Limpo";36;36
"Capão Redondo";61;61
"Vila Andrade";17;17
"** Capela do Socorro";124;124
"Cidade Dutra";45;45
"Grajaú";63;63
"Socorro";16;16
"** Casa Verde/Cachoeirinha";146;146
"Cachoeirinha";60;60
"Casa Verde";50;50
"Limão";36;36
"** Cidade Ademar";95;95
"Cidade Ademar";65;65
"Pedreira";30;30
"** Cidade Tiradentes";49;49
"Cidade Tiradentes";49;49
"** Ermelino Matarazzo";63;63
"Ermelino Matarazzo";27;27
"Ponte Rasa";36;36
"** Freguesia/Brasilândia";146;146
"Brasilândia";85;85
"Freguesia do Ó";61;61
"** Guaianases";88;88
"Guaianases";30;30
"Lajeado";58;58
"** Ipiranga";116;116
"Cursino";37;37
"Ipiranga";33;33
"Sacomã";46;46
"** Itaim Paulista";116;116
"Itaim Paulista";54;54
"Vila Curuçá";62;62
"** Itaquera";163;163
"Cidade Líder";34;34
"Itaquera";72;72
"José Bonifácio";37;37
"Parque do Carmo";20;20
"** Jabaquara";87;87
"Jabaquara";87;87
"** Jaçanã/Tremembé";95;95
"Jaçanã";40;40
"Tremembé";55;55
"** Lapa";80;80
"Barra Funda";4;4
"Jaguara";8;8
"Jaguaré";9;9
"Lapa";21;21
"Perdizes";26;26
"Vila Leopoldina";12;12
"** M'Boi Mirim";118;118
"Jardim Ângela";48;48
"Jardim São Luís";70;70
"** Moóca";127;127
"Água Rasa";26;26
"Belém";19;19
"Brás";5;5
"Moóca";27;27
"Pari";8;8
"Tatuapé";42;42
"** Parelheiros";26;26
"Marsilac";2;2
"Parelheiros";24;24
"** Penha";194;194
"Artur Alvim";44;44
"Cangaíba";49;49
"Penha";48;48
"Vila Matilde";53;53
"** Perus";43;43
"Anhangüera";11;11
"Perus";32;32
"** Pinheiros";57;57
"Alto de Pinheiros";9;9
"Itaim Bibi";15;15
"Jardim Paulista";19;19
"Pinheiros";14;14
"** Pirituba";140;140
"Jaraguá";47;47
"Pirituba";69;69
"São Domingos";24;24
"** Santana/Tucuruvi";122;122
"Mandaqui";36;36
"Santana";50;50
"Tucuruvi";36;36
"** Santo Amaro";82;82
"Campo Belo";38;38
"Campo Grande";18;18
"Santo Amaro";26;26
"** São Mateus";105;105
"Iguatemi";32;32
"São Mateus";48;48
"São Rafael";25;25
"** São Miguel";131;131
"Jardim Helena";50;50
"São Miguel";47;47
"Vila Jacuí";34;34
"** Sapopemba";84;84
"Sapopemba";84;84
"** Sé";125;125
"Bela Vista";17;17
"Bom Retiro";10;10
"Cambuci";8;8
"Consolação";15;15
"Liberdade";21;21
"República";17;17
"Santa Cecília";28;28
"Sé";9;9
"** Vila Maria/Vila Guilherme";123;123
"Vila Guilherme";19;19
"Vila Maria";42;42
"Vila Medeiros";62;62
"** Vila Mariana";82;82
"Moema";20;20
"Saúde";38;38
"Vila Mariana";24;24
"** Vila Prudente";74;74
"São Lucas";44;44
"Vila Prudente";30;30
"** Ignorado";13;13
"Total";3336;3336
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 07/11/2025.
