Mortalidade Geral em investigação
Óbitos Residentes MSP por Subpref/Dist Adm residência e Ano do Óbito
Causa(Cap CID10): IV.  Doenças endócrinas nutricionais e metabólicas
Período:2024
"Subpref/Dist Adm residência";"2024";"Total"
"** Aricanduva/Formosa/Carrão";78;78
"Aricanduva";24;24
"Carrão";33;33
"Vila Formosa";21;21
"** Butantã";100;100
"Butantã";27;27
"Morumbi";9;9
"Raposo Tavares";15;15
"Rio Pequeno";26;26
"Vila Sônia";23;23
"** Campo Limpo";145;145
"Campo Limpo";54;54
"Capão Redondo";62;62
"Vila Andrade";29;29
"** Capela do Socorro";132;132
"Cidade Dutra";31;31
"Grajaú";88;88
"Socorro";13;13
"** Casa Verde/Cachoeirinha";112;112
"Cachoeirinha";47;47
"Casa Verde";32;32
"Limão";33;33
"** Cidade Ademar";100;100
"Cidade Ademar";77;77
"Pedreira";23;23
"** Cidade Tiradentes";56;56
"Cidade Tiradentes";56;56
"** Ermelino Matarazzo";62;62
"Ermelino Matarazzo";32;32
"Ponte Rasa";30;30
"** Freguesia/Brasilândia";131;131
"Brasilândia";87;87
"Freguesia do Ó";44;44
"** Guaianases";80;80
"Guaianases";27;27
"Lajeado";53;53
"** Ipiranga";125;125
"Cursino";33;33
"Ipiranga";32;32
"Sacomã";60;60
"** Itaim Paulista";111;111
"Itaim Paulista";69;69
"Vila Curuçá";42;42
"** Itaquera";149;149
"Cidade Líder";32;32
"Itaquera";64;64
"José Bonifácio";33;33
"Parque do Carmo";20;20
"** Jabaquara";54;54
"Jabaquara";54;54
"** Jaçanã/Tremembé";77;77
"Jaçanã";23;23
"Tremembé";54;54
"** Lapa";64;64
"Barra Funda";-;-
"Jaguara";7;7
"Jaguaré";9;9
"Lapa";16;16
"Perdizes";20;20
"Vila Leopoldina";12;12
"** M'Boi Mirim";125;125
"Jardim Ângela";67;67
"Jardim São Luís";58;58
"** Moóca";135;135
"Água Rasa";32;32
"Belém";19;19
"Brás";5;5
"Moóca";39;39
"Pari";2;2
"Tatuapé";38;38
"** Parelheiros";40;40
"Marsilac";1;1
"Parelheiros";39;39
"** Penha";167;167
"Artur Alvim";32;32
"Cangaíba";37;37
"Penha";57;57
"Vila Matilde";41;41
"** Perus";49;49
"Anhangüera";18;18
"Perus";31;31
"** Pinheiros";71;71
"Alto de Pinheiros";17;17
"Itaim Bibi";25;25
"Jardim Paulista";15;15
"Pinheiros";14;14
"** Pirituba";138;138
"Jaraguá";49;49
"Pirituba";53;53
"São Domingos";36;36
"** Santana/Tucuruvi";115;115
"Mandaqui";34;34
"Santana";37;37
"Tucuruvi";44;44
"** Santo Amaro";78;78
"Campo Belo";22;22
"Campo Grande";27;27
"Santo Amaro";29;29
"** São Mateus";117;117
"Iguatemi";31;31
"São Mateus";63;63
"São Rafael";23;23
"** São Miguel";108;108
"Jardim Helena";37;37
"São Miguel";40;40
"Vila Jacuí";31;31
"** Sapopemba";89;89
"Sapopemba";89;89
"** Sé";98;98
"Bela Vista";10;10
"Bom Retiro";7;7
"Cambuci";10;10
"Consolação";15;15
"Liberdade";13;13
"República";16;16
"Santa Cecília";23;23
"Sé";4;4
"** Vila Maria/Vila Guilherme";100;100
"Vila Guilherme";20;20
"Vila Maria";45;45
"Vila Medeiros";35;35
"** Vila Mariana";81;81
"Moema";16;16
"Saúde";36;36
"Vila Mariana";29;29
"** Vila Prudente";80;80
"São Lucas";45;45
"Vila Prudente";35;35
"** Ignorado";35;35
"Total";3202;3202
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 07/11/2025.
