Mortalidade Geral em investigação
Óbitos Residentes MSP por Subpref/Dist Adm residência e Ano do Óbito
Causa(Cap CID10): IV.  Doenças endócrinas nutricionais e metabólicas
Período:2021
"Subpref/Dist Adm residência";"2021";"Total"
"** Aricanduva/Formosa/Carrão";124;124
"Aricanduva";49;49
"Carrão";31;31
"Vila Formosa";44;44
"** Butantã";148;148
"Butantã";20;20
"Morumbi";16;16
"Raposo Tavares";33;33
"Rio Pequeno";50;50
"Vila Sônia";29;29
"** Campo Limpo";161;161
"Campo Limpo";61;61
"Capão Redondo";75;75
"Vila Andrade";25;25
"** Capela do Socorro";185;185
"Cidade Dutra";61;61
"Grajaú";101;101
"Socorro";23;23
"** Casa Verde/Cachoeirinha";150;150
"Cachoeirinha";64;64
"Casa Verde";40;40
"Limão";46;46
"** Cidade Ademar";131;131
"Cidade Ademar";84;84
"Pedreira";47;47
"** Cidade Tiradentes";83;83
"Cidade Tiradentes";83;83
"** Ermelino Matarazzo";64;64
"Ermelino Matarazzo";31;31
"Ponte Rasa";33;33
"** Freguesia/Brasilândia";195;195
"Brasilândia";119;119
"Freguesia do Ó";76;76
"** Guaianases";99;99
"Guaianases";38;38
"Lajeado";61;61
"** Ipiranga";168;168
"Cursino";46;46
"Ipiranga";41;41
"Sacomã";81;81
"** Itaim Paulista";143;143
"Itaim Paulista";77;77
"Vila Curuçá";66;66
"** Itaquera";200;200
"Cidade Líder";55;55
"Itaquera";89;89
"José Bonifácio";37;37
"Parque do Carmo";19;19
"** Jabaquara";79;79
"Jabaquara";79;79
"** Jaçanã/Tremembé";138;138
"Jaçanã";48;48
"Tremembé";90;90
"** Lapa";92;92
"Barra Funda";7;7
"Jaguara";7;7
"Jaguaré";12;12
"Lapa";29;29
"Perdizes";32;32
"Vila Leopoldina";5;5
"** M'Boi Mirim";165;165
"Jardim Ângela";81;81
"Jardim São Luís";84;84
"** Moóca";173;173
"Água Rasa";46;46
"Belém";20;20
"Brás";15;15
"Moóca";32;32
"Pari";7;7
"Tatuapé";53;53
"** Parelheiros";45;45
"Marsilac";3;3
"Parelheiros";42;42
"** Penha";214;214
"Artur Alvim";41;41
"Cangaíba";59;59
"Penha";57;57
"Vila Matilde";57;57
"** Perus";48;48
"Anhangüera";22;22
"Perus";26;26
"** Pinheiros";83;83
"Alto de Pinheiros";15;15
"Itaim Bibi";28;28
"Jardim Paulista";20;20
"Pinheiros";20;20
"** Pirituba";202;202
"Jaraguá";92;92
"Pirituba";77;77
"São Domingos";33;33
"** Santana/Tucuruvi";163;163
"Mandaqui";45;45
"Santana";55;55
"Tucuruvi";63;63
"** Santo Amaro";83;83
"Campo Belo";15;15
"Campo Grande";38;38
"Santo Amaro";30;30
"** São Mateus";170;170
"Iguatemi";53;53
"São Mateus";66;66
"São Rafael";51;51
"** São Miguel";161;161
"Jardim Helena";66;66
"São Miguel";52;52
"Vila Jacuí";43;43
"** Sapopemba";89;89
"Sapopemba";89;89
"** Sé";132;132
"Bela Vista";15;15
"Bom Retiro";11;11
"Cambuci";12;12
"Consolação";24;24
"Liberdade";22;22
"República";21;21
"Santa Cecília";21;21
"Sé";6;6
"** Vila Maria/Vila Guilherme";143;143
"Vila Guilherme";34;34
"Vila Maria";51;51
"Vila Medeiros";58;58
"** Vila Mariana";97;97
"Moema";28;28
"Saúde";34;34
"Vila Mariana";35;35
"** Vila Prudente";98;98
"São Lucas";54;54
"Vila Prudente";44;44
"** Ignorado";23;23
"Total";4249;4249
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 07/11/2025.
